路線,地点標名称,緯度（度）,緯度（分）,緯度（秒）,経度（度）,経度（分）,経度（秒）
16,110,35,59,32.9931,139,46,13.601
16,110.2,35,59,31.7144,139,46,21.2203
16,110.4,35,59,30.386,139,46,29.089
16,110.6,35,59,28.9943,139,46,37.1824
16,110.8,35,59,27.6699,139,46,45.0079
16,111,35,59,26.3684,139,46,52.7419
16,111.2,35,59,25.0524,139,47,0.3188
16,111.4,35,59,23.6951,139,47,8.3972
16,111.6,35,59,22.6043,139,47,16.1908
16,111.8,35,59,22.6166,139,47,24.0922
16,112,35,59,22.9074,139,47,32.0381
16,112.2,35,59,23.1354,139,47,40.0671
16,112.4,35,59,23.4983,139,47,47.9278
16,112.6,35,59,23.5705,139,47,55.5743
16,112.8,35,59,22.8201,139,48,3.5987
16,113,35,59,21.0813,139,48,11.8641
16,113.2,35,59,19.0892,139,48,19.4545
16,113.4,35,59,17.269,139,48,27.1276
16,113.6,35,59,16.5455,139,48,34.7018
16,113.8,35,59,17.4854,139,48,42.7313
16,114,35,59,19.8359,139,48,49.5747
16,114.2,35,59,23.426,139,48,56.5668
16,115,35,59,46.1564,139,50,32.7023
16,116,35,59,28.0713,139,51,4.0294
16,117,35,59,2.9307,139,51,29.8382
16,118,35,58,34.8618,139,51,49.2094
16,119,35,58,4.3421,139,52,2.7983
16,120,35,57,35.6686,139,52,20.6652
16,142,35,48,50.192,140,1,49.7648
16,143,35,48,29.6864,140,2,20.2736
16,144,35,48,11.8174,140,2,53.5159
16,145,35,47,54.0411,140,3,26.5519
16,146,35,47,33.5664,140,3,57.5923
16,147,35,47,11.8857,140,4,27.4046
16,148,35,46,49.99,140,4,56.638
16,149,35,46,28.0497,140,5,26.3958
16,150,35,46,5.8068,140,5,54.9597
16,151,35,45,40.7305,140,6,19.9565
16,152,35,45,15.3312,140,6,44.9981
16,153,35,44,50.6908,140,7,9.4182
16,154,35,44,20.0104,140,7,17.2479
16,155,35,43,49.4195,140,7,8.1962
16,156,35,43,16.6251,140,6,59.7084
16,157,35,42,46.3514,140,7,6.2161
16,158,35,42,14.7697,140,7,11.4397
16,159,35,41,45.3183,140,7,22.1791
16,160,35,41,21.3732,140,7,48.2152
16,161,35,40,51.0412,140,7,35.4811
16,162,35,40,19.4449,140,7,20.4118
16,163,35,39,50.4183,140,7,6.3627
16,164,35,39,17.3779,140,7,9.7749
16,165,35,38,46.4169,140,7,2.5328
16,166,35,38,19.4316,140,7,5.5713
16,167,35,37,56.8748,140,7,33.8684
16,167.2,35,37,52.5579,140,7,39.8485
16,167.4,35,37,48.699,140,7,46.1786
16,167.6,35,37,44.9766,140,7,53.2407
16,167.8,35,37,42.0492,140,7,59.8389
16,168,35,37,39.1517,140,8,6.9113
16,168.2,35,37,36.2676,140,8,14.0461
16,168.4,35,37,33.4107,140,8,21.1515
16,168.6,35,37,30.9529,140,8,27.9202
16,168.8,35,37,27.4727,140,8,35.1716
16,169,35,37,22.7626,140,8,39.7106
16,169.2,35,37,17.6772,140,8,45.3788
16,169.4,35,37,12.6752,140,8,50.4261
16,169.6,35,37,7.4547,140,8,55.3027
16,169.8,35,37,2.2237,140,9,0.0624
16,170,35,36,56.9143,140,9,4.87
16,170.2,35,36,52.0037,140,9,8.9676
16,170.4,35,36,46.2585,140,9,11.7848
16,170.6,35,36,39.8242,140,9,12.3408
16,170.8,35,36,33.4709,140,9,10.794
16,171,35,36,27.1897,140,9,8.8559
16,171.2,35,36,20.9074,140,9,7.0325
16,171.4,35,36,14.5985,140,9,5.1619
16,171.6,35,36,8.427,140,9,2.7323
16,171.8,35,36,2.1863,140,9,0.6501
16,172,35,35,55.7247,140,8,58.123
16,172.2,35,35,49.8022,140,8,56.0396
16,172.4,35,35,43.4792,140,8,54.3365
16,172.6,35,35,37.3576,140,8,51.8375
16,172.8,35,35,31.1475,140,8,49.6881
16,173,35,35,24.1407,140,8,47.9716
16,173.2,35,35,18.396,140,8,47.844
16,173.4,35,35,12.1638,140,8,49.8519
16,173.6,35,35,6.2981,140,8,53.2205
16,173.8,35,34,59.9527,140,8,55.8744
16,174,35,34,53.5688,140,8,56.0554
16,174.2,35,34,47.355,140,8,53.7678
16,174.4,35,34,41.9527,140,8,49.4177
16,174.6,35,34,36.9384,140,8,44.3481
16,174.8,35,34,31.934,140,8,39.2814
16,175,35,34,26.8317,140,8,34.3323
16,175.2,35,34,21.9646,140,8,29.1254
16,175.4,35,34,16.8509,140,8,24.2838
16,175.6,35,34,11.4211,140,8,20.135
16,175.8,35,34,5.5557,140,8,18.4767
16,176,35,33,36.0239,140,8,21.2022
16,176.2,35,33,30.0112,140,8,22.2537
16,176.4,35,33,23.548,140,8,23.512
16,176.6,35,33,17.131,140,8,24.5788
16,176.8,35,33,10.9696,140,8,21.7099
16,177,35,33,5.541,140,8,17.3958
16,177.2,35,33,0.3148,140,8,12.7967
16,177.4,35,32,56.2895,140,8,6.6025
16,177.6,35,32,56.573,140,7,58.3446
16,177.8,35,32,57.6406,140,7,50.269
16,178,35,32,58.6574,140,7,42.4721
16,178.2,35,32,59.6283,140,7,34.9291
16,179,35,32,47.393,140,7,15.737
16,180,35,32,21.8385,140,6,51.4287
16,181,35,31,59.5728,140,6,22.842
16,182,35,31,41.058,140,5,50.553
16,183,35,31,54.9049,140,5,15.2949
16,184,35,31,53.6665,140,4,35.3397
16,185,35,31,40.3794,140,4,1.4835
16,186,35,31,12.3517,140,3,42.4496
16,187,35,30,43.1711,140,3,23.6298
16,188,35,30,14.5021,140,3,5.5328
16,189,35,29,45.4538,140,2,47.3058
16,190,35,29,16.6645,140,2,29.5741
16,191,35,28,49.8618,140,2,7.7818
16,192,35,28,22.7056,140,1,45.4733
16,193,35,27,57.3869,140,1,20.9933
16,194,35,27,38.2396,140,0,48.0309
16,206.6,35,22,36.3725,139,56,29.4123
16,206.8,35,22,30.864,139,56,24.9347
16,207,35,22,27.4547,139,56,17.984
16,207.2,35,22,24.9585,139,56,10.7561
16,207.4,35,22,22.4368,139,56,3.3935
16,207.8,35,22,20.5832,139,55,58.786
16,208,35,22,16.4865,139,55,53.0872
16,208.2,35,22,11.8354,139,55,47.4432
16,208.4,35,22,7.3969,139,55,41.8237
16,208.6,35,22,4.7784,139,55,34.8445
16,208.8,35,22,6.5417,139,55,27.15
16,209,35,22,8.2358,139,55,19.3116
16,209.2,35,22,9.9428,139,55,11.8138
16,209.4,35,22,11.4658,139,55,4.3076
16,209.6,35,22,12.6078,139,54,56.1628
16,209.8,35,22,13.7103,139,54,48.0691
16,210,35,22,14.1031,139,54,40.587
16,210.2,35,22,10.8003,139,54,37.2968
16,210.4,35,22,4.7554,139,54,40.2998
16,210.6,35,21,58.3749,139,54,41.3328
16,210.8,35,21,51.9751,139,54,40.4815
16,211,35,21,44.7672,139,54,39.019
16,211.2,35,21,39.1101,139,54,37.4522
16,211.4,35,21,33.1231,139,54,34.7639
16,211.6,35,21,27.4483,139,54,31.0798
16,211.8,35,21,22.2277,139,54,26.4744
16,212,35,21,17.5449,139,54,21.0073
16,212.2,35,21,13.5382,139,54,14.8398
16,212.4,35,21,10.2598,139,54,8.0622
16,212.6,35,21,7.4859,139,54,0.9169
16,212.8,35,21,4.7693,139,53,53.8828
16,213,35,21,1.8731,139,53,46.3852
16,213.2,35,20,59.1772,139,53,39.4022
16,213.4,35,20,56.3953,139,53,32.2002
16,213.6,35,20,53.644,139,53,25.0773
16,213.8,35,20,50.8796,139,53,17.9174
16,214,35,20,48.1139,139,53,10.6516
16,214.2,35,20,45.8727,139,53,3.5445
16,214.6,35,20,42.7761,139,52,47.9335
16,214.8,35,20,42.1021,139,52,40.3096
16,215,35,20,41.0589,139,52,33.4379
16,215.2,35,20,28.9394,139,52,2.1445
16,215.4,35,20,24.1454,139,51,57.2772
16,215.6,35,20,18.8687,139,51,52.0542
16,215.8,35,20,12.7605,139,51,49.7883
16,216,35,20,6.3835,139,51,48.2612
16,216.2,35,20,1.6231,139,51,43.0007
16,216.4,35,19,57.1665,139,51,37.3206
16,216.6,35,19,53.7371,139,51,30.6173
16,216.8,35,19,50.6664,139,51,23.7925
16,217,35,19,46.9795,139,51,17.1817
16,218,35,19,27.7423,139,50,45.4555
16,219,35,19,9.273,139,50,13.9655
16,220,35,18,54.0474,139,49,38.1859
16,1,35,15,53.0402,139,43,51.2658
16,1.2,35,27,15.2041,138,16,43.3365
16,1.4,35,27,13.8121,138,16,36.4585
16,1.5,35,27,17.6206,138,16,32.2789
16,1.7,35,27,22.2903,138,16,28.3608
16,1.8,35,27,24.1468,138,16,23.9746
16,2,35,15,44.5617,139,43,15.9254
16,2.2,35,27,28.4749,138,16,11.2109
16,2.4,35,27,30.0932,138,16,3.6384
16,2.7,35,27,36.1158,138,15,56.0989
16,2.8,35,27,39.2747,138,15,50.0349
16,3,35,15,48.3106,139,42,37.3379
16,3.2,35,27,44.7841,138,15,38.1729
16,3.4,35,27,48.4347,138,15,31.2204
16,3.6,35,27,52.3451,138,15,23.9518
16,3.8,35,27,55.1897,138,15,17.7464
16,4,35,15,50.8405,139,41,57.9435
16,4.4,35,27,59.6199,138,14,55.7385
16,4.8,35,28,7.8638,138,14,43.5722
16,5,35,15,58.3285,139,41,20.7866
16,5.2,35,28,17.7414,138,14,33.3995
16,5.4,35,28,22.8851,138,14,28.7821
16,5.6,35,28,27.2656,138,14,23.296
16,5.8,35,28,33.2611,138,14,19.1582
16,6,35,16,12.2283,139,40,47.6419
16,6.3,35,28,41.8407,138,14,4.6416
16,6.4,35,28,42.6417,138,13,59.2972
16,6.6,35,28,42.3722,138,13,50.1918
16,6.7,35,28,42.1481,138,13,45.4416
16,6.9,35,28,43.364,138,13,39.9209
16,7,35,16,40.0641,139,40,34.9974
16,7.2,35,28,46.8752,138,13,29.3243
16,7.3,35,28,46.323,138,13,21.9696
16,7.5,35,28,45.3582,138,13,13.9228
16,7.7,35,28,44.3489,138,13,7.5365
16,8,35,28,42.3132,138,12,54.3529
16,8,35,16,57.8879,139,40,5.4876
16,8.2,35,28,40.4627,138,12,49.2623
16,8.4,35,28,37.2907,138,12,43.8786
16,8.5,35,28,35.2528,138,12,39.9647
16,8.6,35,28,35.3426,138,12,34.3459
16,8.8,35,28,37.6855,138,12,28.5573
16,8.9,35,28,40.3546,138,12,24.2701
16,9,35,28,42.6658,138,12,19.7662
16,9,35,16,58.7658,139,39,28.1843
16,9.2,35,28,44.7625,138,12,15.0425
16,9.3,35,28,47.2842,138,12,10.2016
16,9.5,35,28,50.1095,138,12,4.9083
16,9.7,35,28,54.4132,138,11,57.3734
16,10,35,17,12.1074,139,38,55.3862
16,10.1,35,28,59.0624,138,11,44.4037
16,10.3,35,29,0.7002,138,11,37.7045
16,10.4,35,29,2.2577,138,11,30.2345
16,10.6,35,29,4.9133,138,11,23.7373
16,10.8,35,29,9.1195,138,11,18.127
16,11,35,17,26.0325,139,38,20.8347
16,11.1,35,29,15.6214,138,11,9.011
16,11.3,35,29,18.7582,138,11,4.6425
16,11.4,35,29,22.0045,138,11,0.0602
16,11.6,35,29,25.1234,138,10,55.2508
16,11.7,35,29,28.194,138,10,50.3462
16,12,35,17,44.5655,139,37,51.5111
16,12.3,35,29,37.0761,138,10,33.7135
16,12.4,35,29,38.774,138,10,28.9486
16,12.6,35,29,41.1079,138,10,22.3293
16,12.7,35,29,43.2104,138,10,16.4181
16,13,35,29,47.283,138,10,4.7734
16,13,35,18,7.1848,139,37,29.6774
16,13.2,35,29,48.6785,138,9,58.2098
16,13.4,35,29,49.4067,138,9,51.9913
16,13.5,35,29,50.2191,138,9,46.1195
16,13.6,35,29,50.21,138,9,40.9589
16,14,35,18,39.1431,139,37,27.5002
16,14.2,35,30,3.2407,138,9,27.9818
16,14.3,35,30,7.0937,138,9,24.2458
16,14.5,35,30,9.2662,138,9,20.4753
16,14.6,35,30,11.1986,138,9,15.0509
16,14.7,35,30,13.0529,138,9,10.6729
16,14.9,35,30,15.0686,138,9,5.4787
16,15,35,19,6.803,139,37,19.8944
16,15.2,35,30,19.2188,138,8,56.2054
16,15.4,35,30,23.389,138,8,46.9048
16,16,35,19,37.9737,139,37,11.8306
16,17,35,20,7.7138,139,37,25.839
16,18,35,20,39.2272,139,37,20.9147
16,19,35,21,7.8439,139,37,39.2601
16,20,35,21,38.7997,139,37,46.6812
16,21,35,22,7.3649,139,37,59.598
16,22,35,22,25.8122,139,37,34.3011
16,23,35,22,52.4336,139,37,20.1918
16,24,35,23,19.8915,139,36,59.5716
16,25,35,23,50.5492,139,36,50.7699
16,26,35,24,17.7441,139,37,10.8874
16,27,35,24,47.0403,139,37,27.2857
16,28,35,25,15.3244,139,37,30.3917
16,29,35,25,45.6758,139,37,15.6696
16,30,35,26,10.646,139,37,16.8794
16,31,35,26,28.7361,139,37,47.5847
16,32,35,26,51.0227,139,38,0.7183
16,33,35,27,19.949,139,37,35.6742
16,214.4,35,20,34.8125,139,52,32.9279
16,214.4,35,20,34.8125,139,52,32.9279
16,214.6,35,20,33.0382,139,52,25.3404
16,214.6,35,20,33.0382,139,52,25.3404
16,214.8,35,20,31.6436,139,52,17.6181
16,214.8,35,20,31.6436,139,52,17.6181
16,215,35,20,30.4228,139,52,9.9613
16,215,35,20,30.4228,139,52,9.9613
16,0,35,27,4.7119,139,34,3.9689
16,0.2,35,27,5.8073,138,13,56.0193
16,0.4,35,27,7.9644,138,13,48.5702
16,0.6,35,27,9.7144,138,13,40.9688
16,0.8,35,27,11.1394,138,13,33.4624
16,1,35,27,13.4679,139,33,25.9877
16,1.2,35,27,13.898,138,13,18.0096
16,1.4,35,27,16.0696,138,13,10.4392
16,1.6,35,27,18.9035,138,13,3.5799
16,1.8,35,27,22.7759,138,12,56.7121
16,2,35,27,27.8272,139,32,51.797
16,2,35,27,27.8272,139,32,51.797
16,2.2,35,27,32.1052,138,12,45.5975
16,2.4,35,27,37.0116,138,12,40.6351
16,2.6,35,27,41.9217,138,12,35.1611
16,2.8,35,27,45.8631,138,12,29.7035
16,3,35,27,51.1261,139,32,24.2891
16,3.2,35,27,53.7676,138,12,17.9206
16,3.4,35,27,58.145,138,12,10.5036
16,3.6,35,28,2.4575,138,12,4.8094
16,3.8,35,28,7.9889,138,12,0.42
16,4,35,28,14.3376,139,31,58.4286
16,4.2,35,28,19.4584,138,11,53.3696
16,4.4,35,28,24.8927,138,11,48.4956
16,4.6,35,28,29.0409,138,11,43.7195
16,4.8,35,28,32.9501,138,11,38.5176
16,5,35,28,38.0099,139,31,31.9811
16,5.2,35,28,40.4694,138,11,23.9796
16,5.4,35,28,43.0732,138,11,17.3897
16,5.6,35,28,45.9841,138,11,9.6604
16,5.8,35,28,48.6159,138,11,2.8015
16,6,35,28,52.8834,139,30,56.1151
16,6.2,35,28,55.4575,138,10,49.3536
16,6.4,35,28,59.5684,138,10,43.2372
16,6.6,35,29,3.362,138,10,38.4588
16,6.8,35,29,8.9465,138,10,32.7212
16,7,35,29,15.1772,139,30,28.8551
16,7.2,35,29,18.9126,138,10,24.0982
16,7.4,35,29,24.3148,138,10,18.6649
16,7.6,35,29,28.7802,138,10,13.4091
16,7.8,35,29,33.159,138,10,7.3673
16,8,35,29,38.1182,139,30,1.4237
16,8.2,35,29,40.4313,138,9,54.5383
16,8.4,35,29,43.2643,138,9,46.958
16,8.6,35,29,46.4406,138,9,40.8278
16,8.8,35,29,52.0299,138,9,36.1557
16,38,35,38,35.8843,139,21,11.2697
16,39,35,39,5.9583,139,21,7.5464
16,40,35,39,33.1056,139,21,19.5675
16,41,35,40,2.8248,139,21,14.1148
16,42,35,40,34.6192,139,21,16.3215
16,43,35,40,59.4899,139,20,56.2757
17,0.522,35,41,19.7,139,46,22.4
17,0.6,35,41,21.5,139,46,21.6
17,0.8,35,41,27.8,139,46,19.1
17,0.9,35,41,30.9,139,46,17.9
17,1,35,41,34.4958,139,46,15.935
17,1.1,35,41,37.1,139,46,15.3
17,1.2,35,41,40.1,139,46,14.1
17,1.3,35,41,43.2,139,46,12.9
17,1.4,35,41,46.4,139,46,14.2
17,1.5,35,41,49.3,139,46,15.4
17,1.6,35,41,52,139,46,15.1
17,1.7,35,41,53.7,139,46,11.7
17,1.8,35,41,55.4,139,46,8.3
17,1.9,35,41,58.4,139,46,8.9
17,1.927,35,41,59.4,139,46,9
17,2,35,41,59.173,139,46,7.0329
17,2.1,35,42,1.8,139,46,3.4
17,2.2,35,42,3.8,139,46,0.5
17,2.4,35,42,7.8,139,45,54.1
17,2.5,35,42,9.8,139,45,50.9
17,2.6,35,42,11.8,139,45,47.8
17,2.7,35,42,13.8,139,45,44.8
17,2.8,35,42,16.1,139,45,41.6
17,2.9,35,42,18.7,139,45,39.6
17,3,35,42,21.6318,139,45,38.4757
17,3.1,35,42,25,139,45,38.5
17,3.2,35,42,28.3,139,45,38
17,3.3,35,42,31.6,139,45,37.5
17,3.4,35,42,34.6,139,45,37
17,3.6,35,42,40.9,139,45,35.4
17,3.8,35,42,47.2,139,45,33.8
17,3.9,35,42,50.4,139,45,32.9
17,4,35,42,53.4737,139,45,31.7893
17,4.1,35,42,56.8,139,45,31.2
17,4.13,35,42,57.7,139,45,31
17,4.2,35,42,57.6,139,45,28.2
17,4.207,35,42,57.6,139,45,27.9
17,4.234,35,42,58.1,139,45,27
17,4.3,35,42,59.7,139,45,25.2
17,4.4,35,43,2.1,139,45,22.7
17,4.5,35,43,4.6,139,45,20.1
17,4.6,35,43,7.1,139,45,17.9
17,4.7,35,43,10.1,139,45,15.9
17,4.8,35,43,13,139,45,14.2
17,4.9,35,43,15.9,139,45,12.6
17,5,35,43,18.7567,139,45,10.8504
17,5.1,35,43,21.8,139,45,9.4
17,5.2,35,43,24.8,139,45,7.9
17,5.22,35,43,25.3,139,45,7.5
17,5.244,35,43,25.7,139,45,6.9
17,5.3,35,43,26.8,139,45,4.8
17,5.4,35,43,28.4,139,45,1.5
17,5.6,35,43,32.3,139,44,55.1
17,5.8,35,43,36.2,139,44,48.7
17,5.9,35,43,38.4,139,44,45.2
17,6,35,43,39.8857,139,44,41.524
17,6.2,35,43,44.8,139,44,36.2
17,6.4,35,43,49.7,139,44,31.1
17,6.5,35,43,52,139,44,28.9
17,6.6,35,43,54.4,139,44,26.4
17,6.7,35,43,56.6,139,44,23.6
17,6.8,35,43,59,139,44,20.5
17,6.9,35,44,1.4,139,44,17.8
17,7,35,44,4.2791,139,44,15.17
17,7.1,35,44,6.1,139,44,12.5
17,7.2,35,44,8.7,139,44,10.1
17,7.4,35,44,13.7,139,44,5.1
17,7.6,35,44,19.3,139,43,59.8
17,7.8,35,44,24,139,43,55.5
17,7.9,35,44,26.7,139,43,52.9
17,8,35,44,29.1876,139,43,49.7492
17,8.1,35,44,31.8,139,43,48.1
17,8.2,35,44,34.3,139,43,45.7
17,8.3,35,44,36.8,139,43,43.4
17,8.4,35,44,39.4,139,43,40.8
17,8.5,35,44,42.1,139,43,38.3
17,8.6,35,44,44.2,139,43,35.5
17,8.8,35,44,48,139,43,29.5
17,8.9,35,44,50.1,139,43,26.3
17,9,35,44,52.2,139,43,23
17,9.1,35,44,54.1,139,43,19.8
17,9.2,35,44,55.5,139,43,16.6
17,9.4,35,44,56.3,139,43,8.6
17,9.6,35,44,57,139,43,0.8
17,9.7,35,44,57.5,139,42,56.7
17,9.8,35,44,57.9,139,42,52.7
17,9.9,35,44,58.4,139,42,49.2
17,10,35,44,58.5308,139,42,44.5351
17,10.1,35,45,0.3,139,42,41.9
17,10.2,35,45,2.7,139,42,39.1
17,10.3,35,45,5.3,139,42,36.2
17,10.4,35,45,7.3,139,42,33.9
17,10.5,35,45,10.5,139,42,31.7
17,10.6,35,45,13.1,139,42,30.5
17,10.8,35,45,19.6,139,42,28.3
17,10.9,35,45,22.8,139,42,27.1
17,11,35,45,25.5289,139,42,25.2308
17,11.3,35,45,34.3,139,42,22.6
17,11.4,35,45,38.1,139,42,21.2
17,11.6,35,45,44.3,139,42,18.6
17,11.8,35,45,50.6,139,42,16
17,12,35,45,56.6354,139,42,13.1857
17,12.1,35,45,59.8,139,42,12.7
17,12.2,35,46,3.1,139,42,11.4
17,12.3,35,46,5.7,139,42,9.5
17,12.4,35,46,8.7,139,42,7.5
17,12.5,35,46,11.3,139,42,5.4
17,12.6,35,46,14,139,42,3
17,12.7,35,46,16.6,139,42,0.6
17,12.8,35,46,19.1,139,41,58.4
17,13,35,46,24.3077,139,41,52.7432
17,13.1,35,46,26.7,139,41,50.7
17,13.2,35,46,29.1,139,41,47.9
17,13.3,35,46,31.3,139,41,45.1
17,13.4,35,46,33.7,139,41,42.3
17,13.5,35,46,36.2,139,41,40
17,13.6,35,46,38.8,139,41,37.4
17,13.8,35,46,43.7,139,41,32.2
17,13.9,35,46,46.1,139,41,29.7
17,14,35,46,48.8127,139,41,25.9666
17,14.1,35,46,51.2,139,41,24.5
17,14.2,35,46,53.7,139,41,22.2
17,14.4,35,46,58.7,139,41,17.3
17,14.5,35,47,1.2,139,41,14.9
17,14.6,35,47,3.9,139,41,12.3
17,14.7,35,47,6.5,139,41,10.1
17,14.8,35,47,9.6,139,41,8.7
17,14.9,35,47,12.6,139,41,7.2
17,15,35,47,15.9225,139,41,5.4688
17,15.1,35,47,18.7,139,41,5.2
17,15.2,35,47,21.9,139,41,5.8
17,15.3,35,47,25.1,139,41,6.4
17,15.4,35,47,28.4,139,41,7
17,15.5,35,47,31.6,139,41,7.4
17,15.6,35,47,34.8,139,41,7.8
17,15.7,35,47,38.4,139,41,8
17,15.8,35,47,41.7,139,41,8.2
17,15.9,35,47,44.9,139,41,7.9
17,15.974,35,47,47.2,139,41,7.3
17,16,35,47,48.0066,139,41,6.743
17,16.2,35,47,54.2908,139,41,5.1581
17,16.4,35,48,0.6109,139,41,3.5448
17,16.6,35,48,7.015,139,41,1.9701
17,16.8,35,48,13.41,139,41,1.7492
17,17,35,48,19.9959,139,41,0.7095
17,17.2,35,48,26.3749,139,40,59.284
17,17.4,35,48,32.9059,139,40,58.3647
17,17.6,35,48,39.3524,139,40,57.4873
17,17.8,35,48,45.4943,139,40,56.655
17,21.2,35,50,14.7809,139,39,47.5699
17,21.4,35,50,18.9545,139,39,41.2736
17,21.6,35,50,23.0256,139,39,35.1586
17,21.8,35,50,27.0902,139,39,29.004
17,22,35,50,31.3253,139,39,22.5955
17,22.2,35,50,35.4559,139,39,16.3949
17,22.4,35,50,39.5123,139,39,10.2779
17,22.6,35,50,44.0107,139,39,4.8701
17,22.8,35,50,49.7708,139,39,1.2855
17,23,35,50,55.8569,139,38,57.7728
17,23.2,35,51,1.8832,139,38,54.2991
17,23.4,35,51,7.83,139,38,51.9952
17,23.6,35,51,14.2431,139,38,51.3116
17,23.8,35,51,20.6964,139,38,50.5153
17,24,35,51,26.946,139,38,49.7667
17,24.2,35,51,33.352,139,38,48.9337
17,24.4,35,51,39.768,139,38,48.2645
17,24.6,35,51,46.1008,139,38,47.5053
17,24.8,35,51,52.3444,139,38,46.669
17,25,35,51,59.8363,139,38,45.7546
17,25.2,35,52,6.337,139,38,45.0945
17,25.4,35,52,12.4744,139,38,43.2156
17,25.6,35,52,17.6396,139,38,38.6185
17,25.8,35,52,21.0637,139,38,31.8997
17,26,35,52,23.6287,139,38,24.7827
17,26.2,35,52,26.7339,139,38,17.9124
17,26.4,35,52,31.965,139,38,13.2126
17,26.6,35,52,37.4976,139,38,9.5612
17,26.8,35,52,43.2433,139,38,5.7211
17,27,35,52,49.268,139,38,1.726
17,27.2,35,52,54.9387,139,37,57.9583
17,27.4,35,53,0.611,139,37,54.2974
17,27.6,35,53,7.0073,139,37,51.9833
17,27.8,35,53,12.9962,139,37,49.4929
17,28,35,53,19.4773,139,37,46.5726
17,28.2,35,53,25.5604,139,37,43.9434
17,28.4,35,53,31.6421,139,37,41.2778
17,28.6,35,53,37.7251,139,37,38.6476
17,28.8,35,53,43.7724,139,37,35.9743
17,29,35,53,49.8834,139,37,33.4098
17,29.2,35,53,55.7816,139,37,29.9169
17,29.4,35,53,59.8464,139,37,24.536
17,29.6,35,54,3.5349,139,37,17.6614
17,29.8,35,54,7.5674,139,37,11.0842
17,30,35,54,13.0174,139,37,6.6153
17,30.2,35,54,18.9903,139,37,4.0335
17,30.4,35,54,25.1014,139,37,1.2525
17,30.6,35,54,31.0523,139,36,58.5601
17,30.8,35,54,37.4259,139,36,55.6706
17,31,35,54,43.446,139,36,53.9841
17,31.2,35,54,49.8099,139,36,53.7494
17,31.4,35,54,56.2551,139,36,53.4814
17,31.6,35,55,2.9084,139,36,53.248
17,31.8,35,55,9.2286,139,36,53.2714
17,32,35,55,16.4346,139,36,53.865
17,32.2,35,55,22.8281,139,36,54.6001
17,32.4,35,55,29.4521,139,36,55.1917
17,32.6,35,55,35.7433,139,36,55.7812
17,32.8,35,55,42.1369,139,36,56.4351
17,33,35,55,47.2339,139,36,56.9003
17,33.2,35,55,53.8917,139,36,57.5036
17,33.4,35,56,0.1375,139,36,58.1165
17,33.6,35,56,6.5008,139,36,58.6136
17,33.8,35,56,12.86,139,36,57.5696
17,34,35,56,19.7663,139,36,53.236
17,34.2,35,56,25.2948,139,36,49.1888
17,34.4,35,56,31.1204,139,36,45.8409
17,34.6,35,56,37.0411,139,36,43.3127
17,34.8,35,56,43.285,139,36,40.5981
17,35,35,56,49.479,139,36,37.8087
17,35.2,35,56,55.5925,139,36,35.2401
17,35.4,35,57,1.3805,139,36,31.8336
17,35.6,35,57,7.1327,139,36,29.4651
17,35.8,35,57,13.5359,139,36,28.9894
17,36,35,57,19.912,139,36,28.0829
17,36.2,35,57,26.3354,139,36,27.6979
17,36.4,35,57,32.7631,139,36,27.3531
17,36.6,35,57,39.2609,139,36,26.734
17,36.8,35,57,45.3956,139,36,24.1383
17,37,35,57,51.4863,139,36,20.9083
17,37.2,35,57,57.3806,139,36,17.8547
17,37.4,35,58,3.3459,139,36,14.7153
17,37.6,35,58,9.1338,139,36,11.1125
17,37.8,35,58,14.3129,139,36,6.3059
17,38,35,58,18.7676,139,36,0.7575
17,38.2,35,58,23.0261,139,35,54.7179
17,38.4,35,58,27.327,139,35,48.553
17,38.6,35,58,31.564,139,35,42.4882
17,38.8,35,58,35.7679,139,35,36.4766
17,39,35,58,40.627,139,35,30.9847
17,39.2,35,58,45.4915,139,35,25.6786
17,39.4,35,58,50.3291,139,35,20.4874
17,39.6,35,58,55.463,139,35,14.9578
17,39.8,35,59,0.3472,139,35,10.5584
17,40,35,59,5.616,139,35,5.8394
17,40.2,35,59,10.8607,139,35,1.1572
17,40.4,35,59,16.0369,139,34,56.5394
17,40.6,35,59,21.3046,139,34,51.7948
17,40.8,35,59,26.5109,139,34,47.0057
17,41,35,59,31.4571,139,34,41.6831
17,41.2,35,59,36.3042,139,34,36.4028
17,41.4,35,59,41.1284,139,34,31.1081
17,41.6,35,59,46.2911,139,34,26.2518
17,41.8,35,59,51.9337,139,34,21.8712
17,42,35,59,57.3464,139,34,17.6455
17,42.2,36,0,2.8539,139,34,13.3743
17,42.4,36,0,8.4202,139,34,9.0014
17,42.6,36,0,13.993,139,34,4.7093
17,42.8,36,0,19.4618,139,34,0.3886
17,43,36,0,24.9115,139,33,56.1763
17,43.2,36,0,30.1826,139,33,52.0984
17,43.4,36,0,35.7424,139,33,47.6693
17,43.6,36,0,41.4882,139,33,43.2411
17,43.8,36,0,47.1171,139,33,38.8986
17,44,36,0,52.2975,139,33,34.7906
17,44.2,36,0,57.4276,139,33,29.9076
17,44.4,36,1,2.4376,139,33,24.8534
17,44.6,36,1,7.5356,139,33,19.8731
17,44.8,36,1,12.5577,139,33,14.8482
17,45,36,1,18.3666,139,33,10.6537
17,45.2,36,1,24.1302,139,33,7.0254
17,45.4,36,1,29.9946,139,33,3.1852
